id;game_time;away_team_id;home_team_id;season_id;location
18;2018-08-16 23:30;39;35;1
19;2018-08-17 00:00;40;2;1
20;2018-08-17 00:00;38;43;1
21;2018-08-17 23:00;31;19;1
22;2018-08-17 23:00;37;27;1
23;2018-08-17 23:30;21;25;1
24;2018-08-17 23:30;33;22;1
25;2018-08-18 00:00;18;36;1
26;2018-08-18 17:00;30;34;1
27;2018-08-18 20:00;5;13;1
28;2018-08-18 23:00;24;26;1
29;2018-08-19 00:00;41;42;1
30;2018-08-19 00:00;4;28;1
31;2018-08-19 01:05;23;3;1
32;2018-08-19 02:00;1;32;1
33;2018-08-21 00:00;20;29;1